Title,Application Name,Application Short Name,Application Filing Date,Company Name,Commodity,File Name,ESA Folder URL,Document Number,Data ID,PDF Download URL,Application Type,Pipeline Location,Hearing Order,Consultant Name,Pipeline Status,Regulatory Instrument(s),Application URL,Decision URL,ESA Section(s),ESA Section(s) Index,Topics,PDF Page Number,tableNumber,PDF Size (bytes),PDF Page Count,Outline Present,figureNumber,Content Type
Table 4-8. Greenhouse Gas Emissions Associated with Project Operations (tonnes/year),Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",20,3.0,7651784,75,1,,Table
Table 4-8. Greenhouse Gas Emissions Associated with Project Operations (tonnes/year),Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",21,1.0,7651784,75,1,,Table
Table 4-9. Summary of Jurisdictional Greenhouse Gas Inventories,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",21,2.0,7651784,75,1,,Table
Table 4-9. Summary of Jurisdictional Greenhouse Gas Inventories,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",22,1.0,7651784,75,1,,Table
Table A2-1. Typical Production Gas Composition,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",30,1.0,7651784,75,1,,Table
Table A3-1. AERSCREEN Input Parameters,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",32,1.0,7651784,75,1,,Table
Table A3-1. AERSCREEN Input Parameters,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-12 Environmental and Socio-Economic Assessment - Part 6 - A7X5R4,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R4,4159796,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159796,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,"Appendix 7 Air and Greenhouse Gas Technical Data Report, Appendix 8 Noise Impact Assessment Technical Data Report",,"['Air', 'Human', 'Technology']",33,1.0,7651784,75,1,,Table
Table C-1. Drilling Fluid Releases from Horizontal Directional Drill Reporting Procedure,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",113,1.0,9606854,208,1,,Table
Table C-1. Drilling Fluid Releases from Horizontal Directional Drill Reporting Procedure,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",126,1.0,9606854,208,1,,Table
Table C-1. Drilling Fluid Releases from Horizontal Directional Drill Reporting Procedure,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",127,1.0,9606854,208,1,,Table
Table C-1. Drilling Fluid Releases from Horizontal Directional Drill Reporting Procedure,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",128,1.0,9606854,208,1,,Table
TABLE 1 GENERAL TOPSOIL SALVAGE PROCEDURES,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",174,1.0,9606854,208,1,,Table
TABLE 2 TOPSOIL SALVAGE PROCEDURES FOR DESIGNATED 3-LIFT AREAS,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",174,2.0,9606854,208,1,,Table
TABLE 3 LOCATIONS RECOMMENDED FOR 3-LIFT SOIL HANDLING PROCEDURES,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",174,3.0,9606854,208,1,,Table
TABLE 4 SUMMARY OF SOIL CHARACTERISTICS ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",180,1.0,9606854,208,1,,Table
TABLE 5 SUMMARY OF THE WATERCOURSE CROSSINGS ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",182,1.0,9606854,208,1,,Table
TABLE 6 WILDLIFE FEATURES ENCOUNTERED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",184,1.0,9606854,208,1,,Table
TABLE 7 WETLANDS ENCOUNTERED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",186,1.0,9606854,208,1,,Table
TABLE 7 WETLANDS ENCOUNTERED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",187,1.0,9606854,208,1,,Table
TABLE 7 WETLANDS ENCOUNTERED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",188,1.0,9606854,208,1,,Table
TABLE 8A RARE PLANTS OBSERVED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",190,1.0,9606854,208,1,,Table
TABLE 8A RARE PLANTS OBSERVED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",191,1.0,9606854,208,1,,Table
TABLE 8A RARE PLANTS OBSERVED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",192,1.0,9606854,208,1,,Table
TABLE 8A RARE PLANTS OBSERVED ALONG THE SINCLAIR PIPELINE ROUTE,Application for the Sinclair Pipeline Project,Sinclair,10/19/2021,Steel Reef Pipelines Canada Corp.,Gas,C15521-8 Environmental and Socio-Economic Assessment - Part 2 - A7X5R0,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4159888,A7X5R0,4159893,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/4159893,Small Projects (under 40 km),"Saskatchewan, Manitoba",,Jacobs,Approved,XG-006-2022,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4157796,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/4246777,Appendix 1A Pipeline Environmental Protection Plan,,"['Human', 'Environment Protection Plan']",193,1.0,9606854,208,1,,Table
