Title,Titre,ID
"Figure D.16: Modelled Wind Fields at 10 m Above Ground Level During Unstable, Neutral, and Stable Conditions at Burnaby",Figure D.16 : Champs de vent modélisés à 10 m au-dessus du sol en période d’instabilité,2393386_39
"Figure D.17: Modelled Mixing Heights at Edmonton (Contour Lines, Labels in m) Overlaid on Top of Land Cover Characterization During Unstable, Neutral, and Stable Atmospheric Conditions","Figure D.17 : Hauteurs de mélange modélisées à Edmonton (lignes de contour, étiqueter en m) superposé au-dessus de la charactérisation de la couverture terrestre en périodes atmosphériques instables, neutres et stables",2393386_41
"Figure D.18: Modelled Mixing heights at Kamloops (Contour Lines, labels in m) Overlaid on Top of Land Cover Characterization During Unstable, Neutral, and Stable Atmospheric Conditions","Figure D.18 : Hauteurs de mélange modélisées à Kamloops (lignes de contour, étiqueter en m) superposé au-dessus de la charactérisation de la couverture terrestre en périodes atmosphériques instables, neutres et stables",2393386_42
"Figure D.19: Modelled Mixing Heights at Sumas (Contour Lines, labels in m) Overlaid on Top of Land Cover Characterization During Unstable, Neutral, and Stable Atmospheric Conditions","Figure D.19 : Hauteurs de mélange modélisées à Sumas (lignes de contour, étiqueter en m) superposé au-dessus de la charactérisation de la couverture terrestre en périodes atmosphériques instables, neutres et stables",2393386_43
"Figure D.20: Modelled Mixing Heights at Burnaby (Contour Lines, labels in m) Overlaid on Top of Land Cover Characterization During Unstable, Neutral, and Stable Atmospheric Conditions","Figure D.20 : Hauteurs de mélange modélisées à Edmonton (lignes de contour, étiqueter en m) superposé au-dessus de la charactérisation de la couverture terrestre en périodes atmosphériques instables, neutres et stables",2393386_44
Figure D.21: Diurnal Variation of Modelled Mixing Heights at Edmonton ,Figure D.21 : Variation diurne des hauteurs de mélange modélisées à Edmonton ,2393386_45
Figure D.22: Diurnal Variation of Modelled Mixing Heights at Kamloops ,Figure D.22 : Variation diurne des hauteurs de mélange modélisées à Kamloops ,2393386_46
Figure D.23: Diurnal Variation of Modelled Mixing Heights at Sumas ,Figure D.23 : Variation diurne des hauteurs de mélange modélisées à Sumas ,2393386_47
Figure D.25: Monthly Distribution of Modelled Precipitation at Edmonton  ,Figure D.25 : Distribution mensuelle des précipitations modélisées à Edmonton  ,2393386_49
Figure D.26: Comparison of Modelled Precipitation at Edmonton East with 2002-2006 Observations ,Figure D.26 : Comparaison des précipitations modélisées à Edmonton-Est avec les observations de 2002 à 2006 ,2393386_50
Figure D.27: Monthly Distribution of Modelled Precipitation at Kamloops  ,Figure D.27 : Distribution mensuelle des hauteurs de mélange modélisées à Kamloops  ,2393386_51
Figure D.28: Comparison of Modelled Precipitation with 2011 Observations and Climate Normal at Kamloops Airport   ,Figure D.28 : Comparaison des précipitations modélisées avec les observations de 2011 et la normale climatique à l’aéroport de Kamloops   ,2393386_52
Figure D.29: Monthly Distribution of Modelled Precipitation at Sumas  ,Figure D.29 : Distribution mensuelle des précipitations modélisées à Sumas  ,2393386_53
Figure D.30: Comparison of Modelled Precipitation with 2011 Observations and Climate Normal at Abbotsford Airport  ,Figure D.30 : Comparaison des précipitations modélisées avec les observations de 2011 et la normale climatique à l’aéroport d’Abbotsford  ,2393284_1
Figure D.32: Comparison of Modelled Precipitation at Burmount with 2011 Observations and Climate Normal at Vancouver International Airport  ,Figure D.32 : Comparaison des précipitations modélisées à Burmount avec les observations de 2011 et la normale climatique à l’aéroport international de Vancouver  ,2393284_3
Figure E 1: Seasonal Variation of 24-Hour PM10 Concentrations (µg/m3) at Edmonton South  ,Figure E 1 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Edmonton Sud  ,2393284_8
Figure E 3:  Seasonal Variation of 24-Hour PM10 Concentrations (µg/m3) at Edmonton Northwest ,Figure E 3 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Edmonton Nord-Ouest ,2393284_9
Figure E 5:  Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Edmonton East ,"Figure E 5 : Variation saisonnière des concentrations de PM2,5 sur une heure (µg/m3) à Edmonton Est ",2393284_10
Figure E 7:  Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Edmonton Central ,Figure E 7 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Edmonton Centre ,2393284_11
Figure E 9:  Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Edmonton McIntyre ,Figure E 9 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Edmonton McIntyre ,2393284_12
Figure E 11: Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Edmonton South ,Figure E 11 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Edmonton Sud ,2393284_13
Figure E 13:  Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Edmonton Northwest ,Figure E 13 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Edmonton Nord-Ouest ,2393284_14
Figure E 15:  Seasonal Variation of 1-Hour PM2.5 Concentrations (µg/m3) at Fort Saskatchewan ,"Figure E 15 : Variation saisonnière des concentrations de PM2,5 sur une heure (µg/m3) à Fort Saskatchewan ",2393284_15
Figure E 17:  Seasonal Variation of 1-Hour CO Concentrations (µg/m3) at Edmonton East ,Figure E 17 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Edmonton Est ,2393284_16
Figure E 19:  Seasonal Variation of 1-Hour CO Concentrations (µg/m3) at Edmonton Central ,Figure E 19 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Edmonton Centre ,2393284_17
Figure E 21: Seasonal Variation of 1-Hour CO Concentrations (µg/m3) at Edmonton South ,Figure E 21 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Edmonton Sud ,2393284_18
Figure E 23:  Seasonal Variation of 1-Hour CO Concentrations (µg/m3) at Edmonton Northwest ,Figure E 23 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Edmonton Nord-Ouest ,2393284_19
Figure E 25:  Seasonal Variation of 1-Hour CO Concentrations (µg/m3) at Fort Saskatchewan ,Figure E 25 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Fort Saskatchewan ,2393284_20
Figure E 27:  Seasonal Variation of 1-Hour NO2 Concentrations (µg/m3) at Edmonton East ,Figure E 27 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Edmonton Est ,2393284_21
Figure E 29:  Seasonal Variation of 1-Hour NO2 Concentrations (µg/m3) at Edmonton Central ,Figure E 29 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Edmonton Centre ,2393284_22
Figure E 31:  Seasonal Variation of 1-Hour NO2 Concentrations (µg/m3) at Edmonton South ,Figure E 31 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Edmonton Sud ,2393284_23
Figure E 33:  Seasonal Variation of 1-Hour NO2 Concentrations (µg/m3) at Edmonton Northwest ,Figure E 33 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Edmonton Nord-Ouest ,2393284_24
Figure E 35:  Seasonal Variation of 1-Hour NO2 Concentrations (µg/m3) at Fort Saskatchewan ,Figure E 35 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Fort Saskatchewan ,2393284_25
Figure E 37:  Seasonal Variation of 1-Hour SO2 Concentrations (µg/m3) at Edmonton East ,Figure E 37 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Edmonton Est ,2393284_26
Figure E 39:  Seasonal Variation of 1-Hour SO2 Concentrations (µg/m3) at Edmonton South ,Figure E 39 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Edmonton Sud ,2393284_27
Figure E 41:  Seasonal Variation of 1-Hour SO2 Concentrations (µg/m3) at Fort Saskatchewan ,Figure E 41 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Fort Saskatchewan ,2393284_28
Figure E 43:  Seasonal Variation of 1-Hour SO2 Concentrations (µg/m3) at Sherwood Park ,Figure E 43 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Sherwood Park ,2393284_29
Figure E 45: Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Tomahawk ,Figure E 45 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Tomahawk ,2393284_30
Figure E 47: Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Power  ,Figure E 47 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Power  ,2393284_31
Figure E 49:  Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Tomahawk  ,Figure E 49 : Variation saisonnière des concentrations de PM2.5 sur 1 heure (µg/m3) à Tomahawk  ,2393284_32
Figure E 51:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Meadows ,Figure E 51 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Meadows ,2393284_33
Figure E 53:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Power  ,Figure E 53 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Power  ,2393284_34
Figure E 55:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Wagner ,Figure E 55 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Wagner ,2393284_35
Figure E 57:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Wagner 2 ,Figure E 57 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Wagner 2 ,2393284_36
Figure E 59:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Tomahawk  ,Figure E 59 : Variation saisonnière des concentrations de NO2 sur 1 heure (µg/m3) à Tomahawk  ,2393284_37
Figure E 61:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Meadows  ,Figure E 61 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Meadows  ,2393284_38
Figure E 63:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Power ,Figure E 63 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Power ,2393284_39
Figure E 65:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Wagner ,Figure E 65 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Wagner ,2393284_40
Figure E 67:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Wagner 2  ,Figure E 67 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Wagner 2  ,2393284_41
Figure E 69:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) Tomahawk ,Figure E 69 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Tomahawk ,2393284_42
Figure E 71: Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Edson ,Figure E 71 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Edson ,2393284_43
Figure E 73:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Carrot Creek  ,Figure E 73 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Carrot Creek  ,2393284_44
Figure E 75:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Edson ,Figure E 75 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Edson ,2393284_45
Figure E 77: Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Carrot Creek ,Figure E 77 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Carrot Creek ,2393284_46
Figure E 79:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Hinton ,Figure E 79 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Hinton ,2393284_47
Figure E 81: Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Steeper ,Figure E 81 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Steeper ,2393284_48
Figure E 83:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Hightower Ridge ,Figure E 83 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Hightower Ridge ,2393284_49
Figure E 85:  Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Hinton  ,Figure E 85 : Variation saisonnière des concentrations de PM2.5 sur 1 heures (µg/m3) à Hinton  ,2393284_50
Figure E 87:  Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Steeper ,Figure E 87 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Steeper ,2393284_51
Figure E 89:  Seasonal Variation of 1-hour PM2.5 Concentrations (µg/m3) at Hightower Ridge  ,Figure E 89 : Variation saisonnière des concentrations de PM2.5 sur 1 heures (µg/m3) à Hightower Ridge  ,2393284_52
Figure E 91: Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Steeper  ,Figure E 91 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à Steeper  ,2393284_53
Figure E 93:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Hightower Ridge  ,Figure E 93 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à Hightower Ridge  ,2393387_1
Figure E 95:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Steeper  ,Figure E 95 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à Steeper  ,2393387_2
Figure E 97:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Hightower Ridge ,Figure E 97 : Variation saisonnière des concentrations de SO2 sur 1 heures (µg/m3) à Hightower Ridge ,2393387_3
Figure E 99:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Kamloops   ,Figure E 99 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Kamloops   ,2393387_4
Figure E 101: Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Kamloops ,Figure E 101 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à Kamloops ,2393387_5
Figure E 103:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Kamloops  ,Figure E 103 : Variation saisonnière des concentrations de PM2.5 sur une heure (µg/m3) à Kamloops  ,2393387_6
Figure E 105: Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Kamloops  ,Figure E 105 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à Kamloops  ,2393387_7
Figure E 107:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Kamloops  ,Figure E 107 : Variation saisonnière des concentrations de SO2 sur 1 heures (µg/m3) à Kamloops  ,2393387_8
Figure E 109:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Hope Airport  ,Figure E 109 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à l’aéroport de Hope  ,2393387_9
Figure E 111: Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Hope Airport ,Figure E 111 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à l’aéroport de Hope ,2393387_10
Figure E 113: Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Hope Airport   ,Figure E 113 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à l’aéroport de Hope   ,2393387_11
Figure E 115:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Hope Airport  ,Figure E 115 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à l’aéroport de Hope  ,2393387_12
Figure E 117: Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Chilliwack Airport ,Figure E 117 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à l’aéroport de Chilliwack ,2393387_13
Figure E 119:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Chilliwack Airport  ,Figure E 119 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à l’aéroport de Chilliwack  ,2393387_14
Figure E 121:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Chilliwack Airport ,Figure E 121 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à l’aéroport de Chilliwack ,2393387_15
Figure E 123:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Chilliwack Airport ,Figure E 123 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à l’aéroport de Chilliwack ,2393387_16
Figure E 125: Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Chilliwack Airport  ,Figure E 125 : Variation saisonnière des concentrations de SO2 sur 1 heures (µg/m3) à l’aéroport de Chilliwack  ,2393387_17
Figure E 127:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Abbotsford Central ,Figure E 127 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Abbotsford Centre ,2393387_18
Figure E 129:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Abbotsford Airport ,Figure E 129 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à l’aéroport d’Abbotsford ,2393387_19
Figure E 131:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Abbotsford Central ,Figure E 131 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Abbotsford Centre ,2393387_20
Figure E 133:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Abbotsford Airport ,Figure E 133 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à l’aéroport d’Abbotsford ,2393387_21
Figure E 135: Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Abbotsford Central ,Figure E 135 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Abbotsford Centre ,2393387_22
Figure E 137: Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Abbotsford Airport  ,Figure E 137 : Variation saisonnière des concentrations de SO2 sur une heure (µg/m3) à l’aéroport d’Abbotsford  ,2393387_23
Figure E 139:  Seasonal Variation of 1-hour SO2 Concentrations (µg/m3) at Abbotsford Central ,Figure E 139 : Variation saisonnière des concentrations de SO2 sur 1 heures (µg/m3) à Abbotsford Centre ,2393387_24
Figure E 141:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Burnaby North  ,Figure E 141 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Burnaby Nord  ,2393387_25
Figure E 143:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Burnaby Kensington Park ,Figure E 143 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Burnaby Kensington Park ,2393387_26
Figure E 145:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Port Moody ,Figure E 145 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Port Moody ,2393387_27
Figure E 147:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at North Vancouver Mahon ,Figure E 147 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Vancouver Mahon ,2393387_28
Figure E 149:  Seasonal Variation of 24-hour PM10 Concentrations (µg/m3) at Burnaby South  ,Figure E 149 : Variation saisonnière des concentrations de PM10 sur 24 heures (µg/m3) à Burnaby Sud  ,2393387_29
Figure E 151:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Burnaby Kensington Park ,Figure E 151 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à Burnaby Kensington Park ,2393387_30
Figure E 153:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Port Moody ,Figure E 153 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à Port Moody ,2393387_31
Figure E 155:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Second Narrows ,Figure E 155 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à Second Narrows ,2393387_32
Figure E 157:  Seasonal Variation of 24-hour PM2.5 Concentrations (µg/m3) at Burnaby South ,Figure E 157 : Variation saisonnière des concentrations de PM2.5 sur 24 heures (µg/m3) à Burnaby Sud ,2393387_33
Figure E 159:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Burnaby Kensington Park  ,Figure E 159 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Burnaby Kensington Park  ,2393387_34
Figure E 161:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Port Moody ,Figure E 161 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Port Moody ,2393387_35
Figure E 163:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Coquitlam ,Figure E 163 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Coquitlam ,2393387_36
Figure E 165:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at North Vancouver Mahon Park ,Figure E 165 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Vancouver Mahon Park ,2393387_37
Figure E 167:  Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Second Narrows ,Figure E 167 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Second Narrows ,2393387_38
Figure E 169: Seasonal Variation of 1-hour CO Concentrations (µg/m3) at Burnaby South  ,Figure E 169 : Variation saisonnière des concentrations de CO sur une heure (µg/m3) à Burnaby Sud  ,2393387_39
Figure E 171:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Burnaby Kensington Park  ,Figure E 171 : Variation saisonnière des concentrations de NO2 sur 1 heures (µg/m3) à Burnaby Kensington Park  ,2393387_40
Figure E 173: Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Port Moody ,Figure E 173 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Port Moody ,2393387_41
Figure E 175: Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at Coquitlam ,Figure E 175 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Coquitlam ,2393387_42
Figure E 177:  Seasonal Variation of 1-hour NO2 Concentrations (µg/m3) at North Vancouver Mahon Park ,Figure E 177 : Variation saisonnière des concentrations de NO2 sur une heure (µg/m3) à Vancouver Mahon Park ,2393387_43
